time,force_cmd_1,force_cmd_2,force_cmd_3,force_cmd_4,omega_cmd_1,omega_cmd_2,omega_cmd_3,omega_cmd_4,force_ctrl_1,force_ctrl_2,force_ctrl_3,force_ctrl_4,force_act_1,force_act_2,force_act_3,force_act_4,force_actuator_force_1,force_actuator_force_2,force_actuator_force_3,force_actuator_force_4,plugin_ctrl_1,plugin_ctrl_2,plugin_ctrl_3,plugin_ctrl_4,plugin_act_omega_1,plugin_act_omega_2,plugin_act_omega_3,plugin_act_omega_4,plugin_actuator_force_1,plugin_actuator_force_2,plugin_actuator_force_3,plugin_actuator_force_4,force_wrench_Fz,force_wrench_Tx,force_wrench_Ty,force_wrench_Tz,plugin_wrench_Fz,plugin_wrench_Tx,plugin_wrench_Ty,plugin_wrench_Tz,motor_force_error_1,motor_force_error_2,motor_force_error_3,motor_force_error_4,wrench_error_Fz,wrench_error_Tx,wrench_error_Ty,wrench_error_Tz,qpos_error_x,qpos_error_y,qpos_error_z,qpos_error_qw,qpos_error_qx,qpos_error_qy,qpos_error_qz,qvel_error_vx,qvel_error_vy,qvel_error_vz,qvel_error_wx,qvel_error_wy,qvel_error_wz
0.0,4.6,5.3,4.894974746826897,5.336396103069385,1476.2552340002565,1584.6029837662195,1522.8522256528863,1590.0345591009782,4.6,5.3,4.894974746826897,5.336396103069385,4.599915095360055,5.29990217508876,4.89488439768159,5.336297606375965,4.599915095360055,5.29990217508876,4.89488439768159,5.336297606375965,1476.2552340002565,1584.6029837662195,1522.8522256528863,1590.0345591009782,1476.2461635348943,1584.5932475863601,1522.842868884459,1590.0247895482203,4.599943473172493,5.299934871263961,4.894914595219689,5.336330527081988,20.130999274506372,-0.025857387103432994,0.033136473360874,-0.017121004326346195,20.13112346673813,-0.025857546622916894,0.03313667778652224,-0.017121109949306518,2.8377812437696548e-05,3.2696175201074595e-05,3.019753809851977e-05,3.292070602345376e-05,0.00012419223175896832,-1.59519483899917e-07,2.044256482425233e-07,-1.056229603224601e-07,0.00700069924859828,0.004125183613493788,0.01678764253835552,-0.01415974902166639,-0.00853657260195706,0.01570999195771322,-0.005086455462404216,0.06934887992711625,0.030749981122977332,0.01905812901034265,-0.034486204011607846,0.17105609156506318,-0.03738940318391171
0.002,4.605026527078818,5.299977260539216,4.899925679862606,5.332384972820466,1477.0615830105498,1584.5995844213087,1523.6221615885554,1589.4368678382123,4.605026527078818,5.299977260539216,4.899925679862606,5.332384972820466,4.599921368851531,5.299909403241982,4.894891073460361,5.336304884166283,4.599921368851531,5.299909403241982,4.894891073460361,5.336304884166283,1477.0615830105498,1584.5995844213087,1523.6221615885554,1589.4368678382123,1476.2468609051668,1584.5939961391775,1522.8435882667495,1590.0255406668673,4.59994781914767,5.299939878583187,4.894919219880285,5.336335568787424,20.131026729720155,-0.025857422368452843,0.03313651855331318,-0.017121027676445577,20.131142486398566,-0.025857571052837813,0.03313670909368527,-0.01712112612513983,2.645029613912442e-05,3.047534120526052e-05,2.814641992454625e-05,3.068462114175219e-05,0.00011575667841157156,-1.48684384970732e-07,1.9054037209143004e-07,-9.844869425235103e-08,0.007139934849637153,0.0041865092780244,0.016824386858486196,-0.014445994732073975,-0.008480719733543252,0.0157219334825886,-0.005122927201063665,0.06988365547357467,0.030572121900141913,0.017683521066280683,-0.03333619023498269,0.17147260632693673,-0.03738950141787578
0.004,4.6100529271567305,5.299909043449512,4.9048260884604495,5.328348877095636,1477.8674717068634,1584.5893865360613,1524.3838573554256,1588.8352295708587,4.6100529271567305,5.299909043449512,4.9048260884604495,5.328348877095636,4.599927178803024,5.299916097316528,4.894897255974674,5.336311624210306,4.599927178803024,5.299916097316528,4.894897255974674,5.336311624210306,1477.8674717068634,1584.5893865360613,1524.3838573554256,1588.8352295708587,1476.3094996953541,1584.5944257865747,1522.9034478073559,1589.9802813648803,4.6003381891960595,5.29994275263886,4.895304043872451,5.3360317807293365,20.13105215630453,-0.02585745502778719,0.033136560406542725,-0.017121049301237035,20.131616766436707,-0.025887682658591538,0.03310548827668669,-0.017104984504495296,0.0004110103930354825,2.665532233248058e-05,0.00040678789777714996,-0.0002798434809694328,0.0005646101321765684,-3.0227630804346983e-05,-3.107212985603569e-05,1.606479674173822e-05,0.007280221593216868,0.004247457826905263,0.01685836615995462,-0.014734710905440096,-0.00842158791924219,0.0157295951971258,-0.00515926928958596,0.07040001237506255,0.030372850559623132,0.016293218323560676,-0.03220230981505079,0.1718586562015556,-0.037381671024458996
0.006,4.6150790732360365,5.299795352608939,4.909675477366033,5.3242879752330445,1478.6728804967686,1584.5723905589616,1525.1372483769103,1588.2296635786192,4.6150790732360365,5.299795352608939,4.909675477366033,5.3242879752330445,4.599932559464891,5.299922296774765,4.894902981671186,5.336317866241397,4.599932559464891,5.299922296774765,4.894902981671186,5.336317866241397,1478.6728804967686,1584.5723905589616,1525.1372483769103,1588.2296635786192,1476.429282233844,1584.5940383507195,1523.0172670623633,1589.8922456302348,4.601084729865282,5.299940160950327,4.89603580487996,5.335440894819261,20.131075704152238,-0.025857485273966307,0.03313659916729267,-0.01712106932820126,20.13250159051483,-0.02594503411457444,0.033045180888361225,-0.01707390781536519,0.0011521704003909505,1.7864175561932427e-05,0.0011328232087741696,-0.0008769714221363856,0.0014258863625933316,-8.75488406081315e-05,-9.141827893144328e-05,4.7161512836069175e-05,0.007421522562079119,0.004307986338624212,0.01688954969055234,-0.01502582393648988,-0.008359189227187036,0.0157328536060809,-0.005195415469715886,0.07089786117541808,0.030152066526254018,0.014887853281997376,-0.031135837906419717,0.17216063897060074,-0.03735087661077152
0.008,4.6201048383254575,5.299636194480666,4.914473356481212,5.320202427550143,1479.4777898310747,1584.5485972374763,1525.8822708695368,1587.6201892874833,4.6201048383254575,5.299636194480666,4.914473356481212,5.320202427550143,4.5999375425567735,5.299928038163238,4.894908284303561,5.336323647057072,4.5999375425567735,5.299928038163238,4.894908284303561,5.336323647057072,1479.4777898310747,1584.5485972374763,1525.8822708695368,1587.6201892874833,1476.6017782050808,1584.59237398998,1523.1802589142912,1589.7644202924757,4.602159911659893,5.299929027489668,4.897083799097159,5.334583003826716,20.131097512080643,-0.025857513285295453,0.033136635064062114,-0.01712108787539965,20.133755742073436,-0.026026991110021824,0.03295778637743141,-0.01702902480838997,0.002222369103119348,9.893264296678694e-07,0.002175514793598232,-0.0017406432303559427,0.002658229992793082,-0.00016947782472637174,-0.00017884868663070597,9.206306700967892e-05,0.0075638006035520094,0.004368051673086876,0.016917907935901644,-0.015319244268416243,-0.008293574207179133,0.015731558907812748,-0.005231244111964961,0.07137705612729617,0.029909652931655373,0.013468032317948353,-0.030183601582736586,0.17232871785103043,-0.03728321985920502
0.01,4.625130095443337,5.299431578112619,4.919219240913621,5.316092395337359,1480.2821802041574,1584.5180076180516,1526.618861845192,1587.0068262695409,4.625130095443337,5.299431578112619,4.919219240913621,5.316092395337359,4.599942157454592,5.2999333553281165,4.894913195131449,5.336329000735927,4.599942157454592,5.2999333553281165,4.894913195131449,5.336329000735927,1480.2821802041574,1584.5180076180516,1526.618861845192,1587.0068262695409,1476.8228964092227,1584.5890082744838,1523.3879993927071,1589.5995640364008,4.603538343601741,5.299906513138842,4.898419677631027,5.333476684208269,20.131117708650084,-0.02585753922690459,0.03313666830846673,-0.017121105052170044,20.13534121857988,-0.026131116295985912,0.0328451505098713,-0.016971377641715107,0.003596186147149183,-2.684218927484494e-05,0.0035064824995787447,-0.002852316527658161,0.0042235099297975864,-0.00027357706908132107,-0.0002915177985954309,0.0001497274104549362,0.00770701821828608,0.004427610445743108,0.016943412573310557,-0.015614865945036804,-0.008224827959191716,0.015725538588052257,-0.005266581414693022,0.07183739653979027,0.029645483270548723,0.012034341703632379,-0.02938832693203164,0.1723165346352662,-0.037165852213520534
0.012,4.630154717620856,5.299181515136963,4.923912651025681,5.311958040851725,1481.0860321542887,1584.4806230461,1527.3469591133198,1586.3895942427948,4.630154717620856,5.299181515136963,4.923912651025681,5.311958040851725,4.599946431363718,5.299938279614719,4.894917743104762,5.336333958838537,4.599946431363718,5.299938279614719,4.894917743104762,5.336333958838537,1481.0860321542887,1584.4806230461,1527.3469591133198,1586.3895942427948,1477.0888586930466,1584.5835494865216,1523.6363998153154,1589.400224953889,4.605196603130637,5.299869997656416,4.900017259757777,5.332139110002793,20.131136412921734,-0.02585756325172256,0.033136699096486255,-0.01712112095977164,20.137222970547626,-0.0262551544280763,0.032708976897351694,-0.016901928671561928,0.0052501717669191095,-6.828195830266282e-05,0.0050995166530150016,-0.004194848835743947,0.006086557625891942,-0.00039759117635373986,-0.00042772219913456144,0.00021919228820971304,0.007851137451860307,0.0044866190146961304,0.016966036437181087,-0.01591256617219483,-0.008153066538177267,0.015714600796405187,-0.00530120443635515,0.0722786283004464,0.029359427731565413,0.010587353145812717,-0.028788959807408254,0.1720809442756206,-0.036986894419178906
0.014,4.635178577905237,5.298886019769441,4.92855311248307,5.307799527310479,1481.8893262639592,1584.4364451659903,1528.0665012830677,1585.768513070967,4.635178577905237,5.298886019769441,4.92855311248307,5.307799527310479,4.599950389479356,5.299942840052301,4.894921955034347,5.336338550593507,4.599950389479356,5.299942840052301,4.894921955034347,5.336338550593507,1481.8893262639592,1584.4364451659903,1528.0665012830677,1585.768513070967,1477.3961758851626,1584.575636128502,1523.9216810711077,1589.168756746266,4.607113079999504,5.299817063036416,4.901852361551383,5.330586158402639,20.13115373515951,-0.025857585501378455,0.033136727609619665,-0.017121135691981593,20.139368662989945,-0.026397018618565637,0.032550837691810275,-0.01682156669832252,0.007162690520147841,-0.00012577701588512014,0.00693040651703658,-0.005752392190868427,0.008214927830433538,-0.0005394331171871825,-0.0005858899178093901,0.00029956899365907175,0.007996119789604655,0.004545033480168853,0.016985753495037725,-0.016212204890004966,-0.008078433669845564,0.015698537524687195,-0.005334843972813752,0.0727004455694078,0.029051359227578843,0.00912762887248375,-0.02842096219284862,0.17158176935878977,-0.03673536236732389
0.016,4.640201549362953,5.298545108808566,4.933140156302667,5.303617018884614,1482.6920431602005,1584.3854759210324,1528.7774277653898,1585.1436027633038,4.640201549362953,5.298545108808566,4.933140156302667,5.303617018884614,4.5999540551350675,5.299947063525186,4.894925855750029,5.33634280306978,4.5999540551350675,5.299947063525186,4.894925855750029,5.33634280306978,1482.6920431602005,1584.3854759210324,1528.7774277653898,1585.1436027633038,1477.7416255814433,1584.564934622505,1524.2403498808844,1588.9073336809586,4.609267832946792,5.299745478151134,4.903902638543853,5.328832507574962,20.13116977748006,-0.0258576061070368,0.033136754015955505,-0.01712114933564804,20.141748457216742,-0.026554777617323277,0.032372183502088814,-0.016731112713531754,0.009313777811724933,-0.0002015853740520157,0.008976782793824079,-0.0075102954948178535,0.010578679736681806,-0.0006971715102864762,-0.0007645705138666914,0.0003900366221162854,0.008141926054981222,0.004602809695749138,0.017002538833299274,-0.01651362435763859,-0.008001097753914832,0.015677127604648344,-0.00536718729088323,0.07310249264350932,0.02872115914773854,0.007655726292501885,-0.028316586004144106,0.1707815730226443,-0.036401098737825155
0.018000000000000002,4.6452235050829325,5.298158801634667,4.937673318899943,5.299410680692401,1483.494163514902,1584.327717553458,1529.4796787750984,1584.5148834743766,4.6452235050829325,5.298158801634667,4.937673318899943,5.299410680692401,4.59995744994033,5.2999509749312494,4.894929468246992,5.336346741336209,4.59995744994033,5.2999509749312494,4.894929468246992,5.336346741336209,1483.494163514902,1584.327717553458,1529.4796787750984,1584.5148834743766,1478.1222316384126,1584.551137186699,1524.5891768831143,1588.6179643982118,4.611642458043792,5.299653184578216,4.9061474412041575,5.326891727273211,20.131184634454783,-0.025857625190170153,0.03313677847116209,-0.01712116197120206,20.144334811099377,-0.026726644046536963,0.03217435258553619,-0.016631325189052193,0.011685008103461847,-0.0002977903530334558,0.011217972957165756,-0.009455014062997869,0.013150176644593614,-0.00086901885636681,-0.0009624258856258949,0.0004898367821498661,0.00828851631186174,0.004659903290877329,0.017016368651960767,-0.01681664875240263,-0.007921249133049313,0.015650139541222186,-0.0053978807285839925,0.07348436598815544,0.02836872285075498,0.006172202249755454,-0.02850512601423283,0.1696454489677457,-0.03597470997872465
