step,time,desired_Fx,desired_Fy,desired_Fz,desired_Mx,desired_My,desired_Mz,command_wrench_Fx,command_wrench_Fy,command_wrench_Fz,command_wrench_Mx,command_wrench_My,command_wrench_Mz,applied_wrench_Fx,applied_wrench_Fy,applied_wrench_Fz,applied_wrench_Mx,applied_wrench_My,applied_wrench_Mz,allocation_residual_Fx,allocation_residual_Fy,allocation_residual_Fz,allocation_residual_Mx,allocation_residual_My,allocation_residual_Mz,motor_force_cmd_1,motor_force_cmd_2,motor_force_cmd_3,motor_force_cmd_4,motor_force_cmd_5,motor_force_cmd_6,omega_cmd_1,omega_cmd_2,omega_cmd_3,omega_cmd_4,omega_cmd_5,omega_cmd_6,omega_actual_1,omega_actual_2,omega_actual_3,omega_actual_4,omega_actual_5,omega_actual_6,motor_force_applied_1,motor_force_applied_2,motor_force_applied_3,motor_force_applied_4,motor_force_applied_5,motor_force_applied_6,qpos_x,qpos_y,qpos_z,qpos_qw,qpos_qx,qpos_qy,qpos_qz,qvel_x,qvel_y,qvel_z,qvel_wx,qvel_wy,qvel_wz
10,0.020000000000000004,0.011683769030066009,0.26156895245219375,10.188581164890811,0.012992410351432213,0.024995356455430703,0.008157407175900522,0.011683769030064878,0.2615689524521929,10.188581164890808,0.012992410351432393,0.024995356455430995,0.008157407175900133,0.003317400536015619,0.2550742085572699,10.192138723862541,0.012272480525246321,0.024956921268672688,0.008746460359827013,-1.1310397063368782e-15,-8.326672684688674e-16,-3.552713678800501e-15,1.8041124150158794e-16,2.914335439641036e-16,-3.885780586188048e-16,2.294896991983699,2.014861161339626,1.8899491773879387,2.396287691701426,2.1042471891534698,1.7377187700661314,1054.5153180858133,988.0839779129878,956.9656678179311,1077.5582912741659,1009.7635095405019,917.6161330697446,1054.1491516493306,985.8366986300665,960.1405457104473,1076.1033815864635,1008.8673593443085,920.9710372986455,2.2933035236949806,2.005706460526719,1.9025103624112987,2.3898211672188445,2.1005138699384442,1.750448575432717,3.270008060375956e-07,5.940498834497672e-05,2.0023984104652732,0.9999999607103605,0.00012024326217339545,0.00024924763762177013,4.468166578332929e-05,6.589114065308939e-05,0.005941510488630859,0.23983469630462856,0.024137389642430698,0.04984056532366852,0.008895470611568
11,0.022000000000000006,0.012851463242619687,0.26243204684979027,10.188068378666562,0.013091578401368965,0.024997507157030384,0.008073388846630931,0.01285146324261624,0.2624320468497876,10.18806837866656,0.013091578401368958,0.024997507157031085,0.008073388846630725,0.003961147473562604,0.25557383097231545,10.191861673657375,0.01232779433066225,0.02495987520197504,0.008701234913450262,-3.4468955467659157e-15,-2.6645352591003757e-15,-1.7763568394002505e-15,-6.938893903907228e-18,7.008282842946301e-16,-2.0643209364124004e-16,2.2950708482024416,2.0161556030736394,1.8882212118120754,2.3971332011710516,2.1047661632582577,1.7359879577227981,1054.555261180065,988.401322800815,956.528094709313,1077.7483780883424,1009.8880217196806,917.1590346510399,1054.1773038529311,986.0094776114704,959.8964495838469,1076.2152403197265,1008.9362586214299,920.7131000944082,2.293426015677655,2.0064095674156968,1.9015431365591426,2.3903180270315163,2.100800783431573,1.7494682132571406,4.798177438631838e-07,7.188240761012516e-05,2.0029020607016585,0.9999999424656442,0.00014560679756765957,0.00030157908343012246,5.4013201765217834e-05,8.759478188267848e-05,0.006535901950388808,0.26381542652622786,0.026591440717879535,0.054822256340774485,0.009766892138425534
12,0.024000000000000007,0.014018962427991664,0.26328598682284543,10.187552599806715,0.013190463433079528,0.02499899429407125,0.007989012399706166,0.01401896242799075,0.2632859868228442,10.187552599806713,0.013190463433079697,0.02499899429407168,0.007989012399705842,0.004645237058276824,0.25610143112827877,10.191566060332192,0.012386474046382573,0.02496276773028766,0.008653034622837785,-9.141992718397773e-16,-1.2212453270876722e-15,-1.7763568394002505e-15,1.682681771697503e-16,4.3021142204224816e-16,-3.2439329000766293e-16,2.2952346159723835,2.017453399084226,1.8864988561563152,2.397966759169054,2.1052847112058104,1.7342669939269524,1054.592885091066,988.7193877688942,956.0917429127833,1077.935745168335,1010.0124163245932,916.7043111994848,1054.2063625829664,986.1933713440525,959.6374782451924,1076.3331135115573,1009.009433620151,920.4398506537113,2.2935524554439715,2.007158040040893,1.9005172368526035,2.390841658057078,2.101105523533763,1.7484299522089348,6.80166496146159e-07,8.554855139022246e-05,2.0034536717033786,0.9999999184976067,0.00017342968149146708,0.00035889206667306706,6.421378735222364e-05,0.00011347839844846666,0.00713022636309867,0.2877954547025598,0.029056211164162033,0.05980362987535878,0.010633553498102903
13,0.02600000000000001,0.015186248868816107,0.2641307425833469,10.18703383261989,0.013289063308833414,0.024999817827076908,0.007904281577878617,0.015186248868814284,0.26413074258334535,10.187033832619893,0.013289063308833615,0.024999817827077275,0.007904281577878314,0.005366549527463876,0.256654152358307,10.191253095903216,0.012448239004394374,0.02496555268285472,0.008602060370059839,-1.8231943732516243e-15,-1.5543122344752192e-15,1.7763568394002505e-15,2.0122792321330962e-16,3.677613769070831e-16,-3.0357660829594124e-16,2.2953882806494805,2.0187545306234984,1.8847821517130143,2.398788326679035,2.1058028411466845,1.7325559069038756,1054.6281867028856,989.0381675299848,955.6566245696932,1078.1203851642974,1010.1366953535542,916.2519737144582,1054.2360798351774,986.3875806478139,959.3648692536366,1076.4563296455412,1009.0865465679524,920.152648832914,2.2936817641635128,2.0079486499942676,1.8994376114528753,2.3913890854740787,2.101426687293778,1.74733900873665,9.367371085548942e-07,0.00010040323126472729,2.0040532420256714,0.9999998877161109,0.00020372294787027875,0.00042118626830609657,7.527851081623276e-05,0.00014387085367077222,0.007724428202485714,0.3117747406147516,0.03153232681571262,0.06478467752876846,0.011495167874386265
14,0.02800000000000001,0.016353304850955687,0.26496628466365546,10.186512081439679,0.01338737589706473,0.024999977734186482,0.007819200139619944,0.016353304850954903,0.26496628466365213,10.186512081439679,0.013387375897064957,0.024999977734187107,0.00781920013961962,0.00612220322622839,0.25722935512041034,10.1909239022914,0.012512829986372404,0.024968187434916217,0.008548497832050916,-7.840950111415168e-16,-3.3306690738754696e-15,0.0,2.2724877535296173e-16,6.245004513516506e-16,-3.2439329000766293e-16,2.295531827971306,2.020058978761555,1.8830711395724289,2.399597865079775,2.106320561202252,1.7308547245458081,1054.661162972349,989.3576567575309,955.2227517875099,1078.3022907995544,1010.260860796856,915.8020331103726,1054.2662264332077,986.5913673801103,959.0797659537676,1076.5842682687978,1009.167285815129,919.8527507833587,2.29381294482053,2.0087784162474165,1.898308832441549,2.3919575603861287,2.1017629803442532,1.746200201679198,1.2588701577550797e-06,0.00011644614072181832,2.004700770145977,0.9999998489349242,0.00023649822837828514,0.0004884613568319453,8.720218178926158e-05,0.00017909390849749432,0.008318444982323195,0.3357532466472407,0.03402035961317412,0.06976538201073948,0.012351467796504013
15,0.030000000000000013,0.01752011266377039,0.265792583917533,10.185987350624595,0.013485399072418275,0.0249994740111552,0.007733771858954387,0.01752011266376932,0.26579258391753213,10.185987350624593,0.01348539907241822,0.024999474011155542,0.007733771858954408,0.006909536427950919,0.257824600400095,10.190579517443087,0.012580007569711532,0.02497063263485355,0.008492518665676518,-1.0685896612017132e-15,-8.881784197001252e-16,-1.7763568394002505e-15,-5.551115123125783e-17,3.434752482434078e-16,2.0816681711721685e-17,2.2956652440576524,2.0213667243867235,1.8813658606214645,2.4003953361468273,2.1068378794639244,1.729163474411536,1054.6918109290962,989.6778500858234,954.7901366392643,1078.481454870713,1010.3849146365898,915.354500216069,1054.2965905866401,986.8040497398559,958.783224716561,1076.7163560716574,1009.2513638257561,919.5413169180567,2.2939450759453894,2.0096445859660905,1.8971351243870385,2.3925445423997056,2.102113208525441,1.745017982423835,1.6565430913532804e-06,0.0001336768417064068,2.005396254468928,0.9999998008714384,0.00027176770053545464,0.0005607169798062423,9.997934965547879e-05,0.00021946275902178127,0.008912207720226193,0.35973093757314817,0.03652083174471408,0.07474571782055382,0.01320220367681721
16,0.032000000000000015,0.018686654600386297,0.2666096115211592,10.185459644558042,0.013583130715795463,0.024998306671354508,0.007648000525291331,0.018686654600386016,0.2666096115211585,10.18545964455804,0.013583130715795505,0.02499830667135472,0.007648000525291188,0.007726090528113155,0.2584376343753556,10.190220901131255,0.012649550601456727,0.024972851952699937,0.008434281598867777,-2.8102520310824275e-16,-7.216449660063518e-16,-1.7763568394002505e-15,4.163336342344337e-17,2.1163626406917047e-16,-1.4311468676808659e-16,2.2957885154110595,2.0226777482058704,1.879666355542392,2.401180702054075,2.1073548039924095,1.7274821837259395,1054.720127675625,989.9987421101765,954.3587911629894,1078.6578702477666,1010.5088588464745,914.9093857742032,1054.3269765599007,987.0249979327698,958.476221623579,1076.8520632687537,1009.3385153231039,919.2194192658194,2.2940773058299024,2.0105446168268646,1.895920390776131,2.393147683558109,2.102476270157625,1.7437964628182683,2.1403576009754883e-06,0.00015209475206397172,2.0061396933309235,0.9999997421463809,0.00030954403978080374,0.0006379527559968138,0.00011360432053468082,0.00026528653263903275,0.009505641368146807,0.38370778035379505,0.03903421946805575,0.07972565187556054,0.014047142462393905
17,0.034000000000000016,0.01985291295796429,0.267417338974137,10.184928967648284,0.013680568714400154,0.02499647574577171,0.007561889943257258,0.019852912957963237,0.2674173389741358,10.184928967648279,0.01368056871440032,0.02499647574577199,0.007561889943257016,0.008569594509941686,0.2590663742492796,10.18984894043708,0.012721254790198977,0.024974811848302025,0.0083739334355043,-1.0547118733938987e-15,-1.2212453270876722e-15,-5.329070518200751e-15,1.6653345369377348e-16,2.8102520310824275e-16,-2.419939248987646e-16,2.2959016289174285,2.0239920307446333,1.8779726648115875,2.401953925375315,2.1078713428169205,1.7258108793795834,1054.7461103873595,990.3203273870865,953.9287273611602,1078.8315298742098,1010.6326953916746,914.4667004406425,1054.3572034435056,987.2536301699078,958.1596586372211,1076.9909002583602,1009.4284955776266,918.8880482599292,2.2942088471889925,2.0114761607161245,1.894668238464729,2.3937648135244975,2.1028511489115607,1.7425394409975288,2.7215279489146273e-06,0.00017169913381234595,2.0069310850043167,0.9999996712835227,0.00034984037521548967,0.0007201682681457248,0.00012807117296745462,0.00031686874595877114,0.01009866521026134,0.40768374395158646,0.04156095663791761,0.08470514409117766,0.01488606639145315
18,0.03600000000000002,0.021018870037968703,0.26821573810048666,10.184395324328396,0.013777710961784317,0.024993981283009142,0.007475443932526939,0.02101887003796757,0.26821573810048527,10.184395324328396,0.013777710961784595,0.024993981283009503,0.0074754439325265265,0.009437950587512317,0.25970889516243656,10.189464454915385,0.012794931406782506,0.024976481357562585,0.008311609981075718,-1.1345091532888318e-15,-1.3877787807814457e-15,0.0,2.7755575615628914e-16,3.608224830031759e-16,-4.128641872824801e-16,2.2960045718465416,2.025309552347742,1.8762848286982734,2.402714969085797,2.108387503934436,1.7241495879283022,1054.7697563126967,990.642600434411,953.499957200134,1079.0024267671424,1010.75642622863,914.0264547838618,1054.3871040197848,987.4894089738531,957.8343692965401,1077.1324145385768,1009.5210788265618,918.5481190048276,2.294338972234094,2.012437048701411,1.893382000291593,2.3943939259155997,2.103236907230306,1.7412504252757972,3.4118701747793075e-06,0.0001924890821787581,2.00777042770124,0.9999995867093816,0.0003926702487329921,0.0008073630562871463,0.00014337377240348703,0.0003745077273569849,0.010691193230737743,0.43165879915549393,0.04410143796163642,0.08968414791616368,0.015718771846400078
19,0.03800000000000002,0.022184508146435897,0.2690047810496288,10.183858719056234,0.013874555357893576,0.02499082334928289,0.007388666327654014,0.02218450814643505,0.26900478104962877,10.18385871905623,0.013874555357893587,0.02499082334928318,0.007388666327653892,0.010329220938676414,0.2603634181036615,10.189068201450596,0.01287040608538273,0.024977831895325653,0.00824743689553703,-8.465450562766819e-16,-5.551115123125783e-17,-3.552713678800501e-15,1.0408340855860843e-17,2.914335439641036e-16,-1.214306433183765e-16,2.2960973318525957,2.0266302931792906,1.874602887263268,2.4034637965637575,2.1089032953089184,1.7224983355928072,1054.7910627730578,990.9655557315366,953.0724926095884,1079.1705540173773,1010.8800533048762,913.5886592843468,1054.4165237158163,987.7318377689152,957.5011239751005,1077.27618786062,1009.6160568150261,918.2004770609509,2.294467008126377,2.0134252771742016,1.8920647559891375,2.395033165695659,2.103632680259502,1.739932656243401,4.223792114131081e-06,0.00021446351534422134,2.0086577195770943,0.9999994867529237,0.00043804757727548024,0.0008995366115778158,0.00015950578458642464,0.0004384970068409104,0.011283134453683851,0.4556329184183819,0.046656022003981945,0.09466261082664386,0.016545068295846233
