step,time,ctrl_drone_1_rotor1,ctrl_drone_1_rotor2,ctrl_drone_1_rotor3,ctrl_drone_1_rotor4,act_drone_1_rotor1,act_drone_1_rotor2,act_drone_1_rotor3,act_drone_1_rotor4,actuator_force_drone_1_rotor1,actuator_force_drone_1_rotor2,actuator_force_drone_1_rotor3,actuator_force_drone_1_rotor4,desired_Fx,desired_Fy,desired_Fz,desired_Tx,desired_Ty,desired_Tz,actual_Fx,actual_Fy,actual_Fz,actual_Tx,actual_Ty,actual_Tz,error_Fx,error_Fy,error_Fz,error_Tx,error_Ty,error_Tz,qpos_x,qpos_y,qpos_z,qpos_qw,qpos_qx,qpos_qy,qpos_qz,qvel_x,qvel_y,qvel_z,qvel_wx,qvel_wy,qvel_wz
10,0.029999999999999995,1.3310365210434454,0.9243182528749365,1.5230560034881508,1.2215892225934688,0.6598489942559901,0.49526012730014163,0.7801509268672993,0.6309786717767126,0.6598489942559901,0.49526012730014163,0.7801509268672993,0.6309786717767126,0.0,0.0,5.0,0.010525148727382598,0.04892904521632401,0.010622775735947887,0.0,0.0,2.5662387202001438,0.0015416611865261831,0.025602047708788017,0.004706416830696527,0.0,0.0,-2.4337612797998562,-0.008983487540856415,-0.023326997507535994,-0.00591635890525136,-3.871581561189535e-07,8.734325223942563e-09,2.000128448315956,0.999999910976471,9.272819609643372e-06,0.0004200919564121872,3.852029527007348e-05,-5.157706947493024e-05,1.6180870986642731e-06,0.017675491911929585,0.0034715311070820437,0.1155143129755183,0.010709103535324777
11,0.032999999999999995,1.3369347535908842,0.9195396460744991,1.5226073446864512,1.2209182556481684,0.7329547046679276,0.5461826854819024,0.8641271720868055,0.6981828206179681,0.7329547046679276,0.5461826854819024,0.8641271720868055,0.6981828206179681,0.0,0.0,5.0,0.011570601847810181,0.04870512006692387,0.010786262948320023,0.0,0.0,2.8414473828546036,0.002082766771718786,0.02831726025549436,0.0052907455598229375,0.0,0.0,-2.1585526171453964,-0.009487835076091395,-0.020387859811429508,-0.005495517388497085,-5.849138608199546e-07,1.6769859788226363e-08,2.0002001006454813,0.9999997841560012,1.813420710132038e-05,0.0006539931496821777,6.043229049206528e-05,-6.591856823366702e-05,2.6785115214279334e-06,0.023884109841685687,0.005907461900332998,0.15593405981387642,0.014609034688240994
12,0.036,1.3427167922459862,0.9149819259337564,1.5219478712775145,1.2203534105427445,0.7985094509055809,0.5907099046756616,0.9386498366313737,0.7576663779118256,0.7985094509055809,0.5907099046756616,0.9386498366313737,0.7576663779118256,0.0,0.0,5.0,0.01261404055774581,0.04846025636405182,0.010939939905705,0.0,0.0,3.085535570124442,0.0026816087510371095,0.030709685896195674,0.005831745074242011,0.0,0.0,-1.914464429875558,-0.0099324318067087,-0.017750570467856143,-0.005108194831462989,-8.205263568122398e-07,2.8813183951887397e-08,2.0002923763335416,0.9999995396323966,3.192683508709372e-05,0.0009548872958912685,8.891526267127244e-05,-7.853749866409508e-05,4.0144413878870116e-06,0.03075856268680472,0.009194790471428325,0.20059595251083598,0.0189910300336735
13,0.039,1.3483795901671602,0.9106476129541825,1.5210759710591581,1.2198968258194995,0.8573554725665642,0.6295886127227339,1.0047650078730708,0.8103132786129371,0.8573554725665642,0.6295886127227339,1.0047650078730708,0.8103132786129371,0.0,0.0,5.0,0.013655283197331801,0.04819455937573161,0.011083666836789541,0.0,0.0,3.3020223717753057,0.0033315130583696784,0.03281342011967098,0.006333278836559458,0.0,0.0,-1.6979776282246943,-0.010323770138962123,-0.015381139256060633,-0.004750388000230083,-1.0836070802539461e-06,4.553800711127078e-08,2.0004070470296527,0.999999108607361,5.206131465646621e-05,0.001328359880566184,0.0001246359920605132,-8.769357448056875e-05,5.574941053127795e-06,0.0382235653704036,0.013422388451557339,0.2489814555297514,0.023818702980659995
14,0.042,1.3539202299059323,0.9065390534625108,1.5199902040922877,1.21955051253927,0.9102393688543965,0.6634815477776848,1.063400224196996,0.856907799609914,0.9102393688543965,0.6634815477776848,1.063400224196996,0.856907799609914,0.0,0.0,5.0,0.01469414848904038,0.04790814332631151,0.011217313019946594,0.0,0.0,3.4940289404389913,0.004026539648962976,0.034658710717482874,0.006798753684956908,0.0,0.0,-1.5059710595610087,-0.010667608840077404,-0.013249432608828639,-0.004418559334989686,-1.3579867668586886e-06,6.734551944483632e-08,2.0005456840677662,0.9999983996900584,8.006518002309165e-05,0.0017793010117246922,0.00016821057727578462,-9.145989553491411e-05,7.269170777855178e-06,0.04621234603787417,0.018668132691559022,0.3006269764236692,0.02905890589980851
15,0.045000000000000005,1.359335925590162,0.9026584176730466,1.5186893044807868,1.219316352256008,0.9578229270545979,0.6929768484782176,1.1153778989796743,0.89814581565826,0.9578229270545979,0.6929768484782176,1.1153778989796743,0.89814581565826,0.0,0.0,5.0,0.015730455569233606,0.04760113134735876,0.011340756902128442,0.0,0.0,3.6643234901707498,0.00476139952549659,0.036272393910511874,0.007231172428466916,0.0,0.0,-1.3356765098292502,-0.010969056043737015,-0.011328737436846884,-0.004109584473661526,-1.6212224756043277e-06,9.423408560004157e-08,2.0007096811137353,0.9999972962169241,0.0001175682131717601,0.002311978548892719,0.00022020841440732747,-8.774523624854634e-05,8.962855385068414e-06,0.054665681989665926,0.02500009698192817,0.3551176856632208,0.03468134819498162
16,0.04800000000000001,1.3646240249776662,0.8990076978987136,1.517172182003032,1.2191960951205931,1.000692726834682,0.7185964706865442,1.1614272268561108,0.9346447822120564,1.000692726834682,0.7185964706865442,1.1614272268561108,0.9346447822120564,0.0,0.0,5.0,0.01676402401965125,0.04727365542472472,0.011453886209420882,0.0,0.0,3.8153612065893934,0.0055313811504083266,0.0376782811546941,0.007633180511882887,0.0,0.0,-1.1846387934106066,-0.011232642869242922,-0.00959537427003062,-0.003820705697537995,-1.8441735877761239e-06,1.256602406040077e-07,2.00090027424665,0.9999956538884318,0.00016628936231134504,0.0029301030027697145,0.0002811556306920082,-7.431703739059874e-05,1.0475385001322046e-05,0.06353104430495671,0.032477614129814716,0.41208203751231515,0.040658258373918364
17,0.05100000000000001,1.3697820113785082,0.8955887069124748,1.5154379235934212,1.2191913581155975,1.0393686587836146,0.7408036522010012,1.202194743881732,0.9669525891298305,1.0393686587836146,0.7408036522010012,1.202194743881732,0.9669525891298305,0.0,0.0,5.0,0.017794673898821108,0.04692585634180356,0.011556598049157905,0.0,0.0,3.949319643996178,0.00633228518307119,0.03889750220269467,0.008007107420017725,0.0,0.0,-1.0506803560038218,-0.011462388715749918,-0.008028354139108893,-0.00354949062914018,-1.9906451589405904e-06,1.6039279142881618e-07,2.001118559763292,0.9999932987235869,0.00022802507896967767,0.003636885136025503,0.00035153803452112254,-4.882385705482225e-05,1.1577516941602828e-05,0.07276183888069152,0.041152222200035456,0.4711869125036656,0.046964085155876766
18,0.05400000000000001,1.374807505444344,0.8924030764606132,1.513485794672456,1.2193036234225891,1.0743114799540905,0.7600095331091992,1.2382536937900521,0.9955554129496103,1.0743114799540905,0.7600095331091992,1.2382536937900521,0.9955554129496103,0.0,0.0,5.0,0.018822225773386353,0.04655788361900885,0.011648799003503983,0.0,0.0,4.0681301198029525,0.007160366600444931,0.03994880936763727,0.008355003415279998,0.0,0.0,-0.9318698801970475,-0.011661859172941422,-0.006609074251371583,-0.0032937955882239855,-2.0170946604656676e-06,1.9636166538283988e-07,2.001365509962292,0.999990025321878,0.00030463891713030094,0.004435087090337586,0.00043180363713585875,-8.816500508359e-06,1.1989624651341232e-05,0.08231673299990888,0.051068507352325376,0.5321333110779138,0.05357523321473596
19,0.057000000000000016,1.379698266823275,0.8894522559292555,1.5113152403240218,1.2195342369234479,1.1059295152887063,0.776579027278796,1.270112335335861,1.0208846809887058,1.1059295152887063,0.776579027278796,1.270112335335861,1.0208846809887058,0.0,0.0,5.0,0.019846500749344378,0.04616989544949405,0.011730405214418895,0.0,0.0,4.173505558892069,0.008012283366275519,0.04084884737570643,0.008678672135355982,0.0,0.0,-0.8264944411079309,-0.011834217383068859,-0.005321048073787617,-0.0030517330790629134,-1.8723968028904147e-06,2.3050295020657811e-07,2.0016419871356153,0.999985595415445,0.0003980522545207902,0.0053270677714067505,0.0005223647955419774,4.823261919175097e-05,1.1380428274579415e-05,0.09215905777451541,0.06226485444730875,0.5946525359362523,0.06046982965297238
