step,time,desired_Fx,desired_Fy,desired_Fz,desired_Mx,desired_My,desired_Mz,command_wrench_Fx,command_wrench_Fy,command_wrench_Fz,command_wrench_Mx,command_wrench_My,command_wrench_Mz,applied_wrench_Fx,applied_wrench_Fy,applied_wrench_Fz,applied_wrench_Mx,applied_wrench_My,applied_wrench_Mz,allocation_residual_Fx,allocation_residual_Fy,allocation_residual_Fz,allocation_residual_Mx,allocation_residual_My,allocation_residual_Mz,motor_force_cmd_1,motor_force_cmd_2,motor_force_cmd_3,motor_force_cmd_4,motor_force_cmd_5,motor_force_cmd_6,omega_cmd_1,omega_cmd_2,omega_cmd_3,omega_cmd_4,omega_cmd_5,omega_cmd_6,omega_actual_1,omega_actual_2,omega_actual_3,omega_actual_4,omega_actual_5,omega_actual_6,motor_force_applied_1,motor_force_applied_2,motor_force_applied_3,motor_force_applied_4,motor_force_applied_5,motor_force_applied_6,qpos_x,qpos_y,qpos_z,qpos_qw,qpos_qx,qpos_qy,qpos_qz,qvel_x,qvel_y,qvel_z,qvel_wx,qvel_wy,qvel_wz
10,0.020000000000000004,0.011683769030066009,0.26156895245219375,10.188581164890811,0.012992410351432213,0.024995356455430703,0.008157407175900522,0.011683771776914958,0.2615689538755027,10.188581160910939,0.012992414628985094,0.02499535363141389,0.008157406540359069,0.003317401717905538,0.25507420885846344,10.192138720601704,0.012272484572226322,0.024956918652262405,0.008746459811603324,2.7468489496862425e-09,1.4233089706827684e-09,-3.97987243161424e-09,4.2775528813487895e-09,-2.824016812064123e-09,-6.35541452798094e-10,2.2948969775629746,2.0148611777329206,1.889949200727332,2.3962876648047575,2.1042471723430674,1.7377187836027168,1054.5153147726203,988.0839819326077,956.9656737268197,1077.5582852267432,1009.7635055071042,917.6161366437951,1054.1491482487593,985.8367022755633,960.1405518808239,1076.1033755538353,1008.8673554155988,920.9710411611445,2.2933035088990814,2.005706475360406,1.9025103868643964,2.3898211404242025,2.100513853578892,1.7504485901152766,3.2700079542468975e-07,5.940498817709178e-05,2.002398410464624,0.9999999607103619,0.00012024330115107706,0.0002492476122467672,4.468166339752247e-05,6.589114485336756e-05,0.005941510474463762,0.23983469623667059,0.024137397512992556,0.04984056021681233,0.008895470114839434
11,0.022000000000000006,0.012851463242619687,0.26243204684979027,10.188068378666562,0.013091578401368965,0.024997507157030384,0.008073388846630931,0.012851465983049454,0.2624320482448399,10.188068374678295,0.01309158268543259,0.024997504307212343,0.008073388214182575,0.0039611487757628405,0.25557383135978706,10.19186167034064,0.012327798395346617,0.02495987256962312,0.008701234358530763,2.7404297667926736e-09,1.3950496313697158e-09,-3.988267494037245e-09,4.284063624682144e-09,-2.8498180412728225e-09,-6.324483558389771e-10,2.2950708337953145,2.0161556194270394,1.8882212352942669,2.3971331741182054,2.104766146312919,1.735987971423746,1054.555257870121,988.4013268093653,956.5281006570738,1077.7483720068778,1009.8880176544085,917.1590382702897,1054.1773004590777,986.0094812857311,959.8964557341193,1076.2152342859608,1008.9362546846714,920.7131039347303,2.2934260009105913,2.0064095823690455,1.9015431609263718,2.3903180002290365,2.100800767037385,1.7494682278513098,4.798177432261547e-07,7.188240741268734e-05,2.0029020607008654,0.9999999424656465,0.00014560684482046074,0.0003015790526866795,5.401319885515855e-05,8.75947876625337e-05,0.006535901934970806,0.2638154264505818,0.0265914493981315,0.05482225071022254,0.009766891586587782
12,0.024000000000000007,0.014018962427991664,0.26328598682284543,10.187552599806715,0.013190463433079528,0.02499899429407125,0.007989012399706166,0.014018965161969238,0.26328598818962934,10.187552595810072,0.013190467723356941,0.02499899141853751,0.00798901177046224,0.004645238471020968,0.25610143159320775,10.191566056963325,0.012386478127909828,0.024962765081237487,0.008653034061973208,2.7339775738460803e-09,1.3667839082742717e-09,-3.9966430165350175e-09,4.29027741284671e-09,-2.8755337416752624e-09,-6.292439260618954e-10,2.295234601580422,2.017453415396127,1.886498879779917,2.3979667319614584,2.1052846941263255,1.734267007791493,1054.592881784724,988.719391765986,956.0917488990924,1077.9357390531459,1010.0124122276434,916.7043148637661,1054.2063591955643,986.1933750440145,959.637484379895,1076.3331074741243,1009.0094296735118,920.4398544770366,2.293552440704572,2.007158055101648,1.9005172611515881,2.3908416312353706,2.1011055070972358,1.7484299667341998,6.801665086533486e-07,8.554855116051657e-05,2.0034536717024265,0.99999991849761,0.0001734297378307528,0.0003588920300359372,6.421378386247329e-05,0.00011347840580905414,0.00713022634620646,0.28779545461910916,0.029056220657427034,0.059803623717976345,0.010633552890529965
13,0.02600000000000001,0.015186248868816107,0.2641307425833469,10.18703383261989,0.013289063308833414,0.024999817827076908,0.007904281577878617,0.015186251596297745,0.26413074392181113,10.18703382861488,0.013289067605195576,0.024999814925872138,0.007904280951785525,0.005366551041734696,0.25665415289254834,10.191253092485692,0.012448243101946338,0.024965550016414345,0.008602059803951956,2.727481638112317e-09,1.3384642283398307e-09,-4.005011433605432e-09,4.2963621618707926e-09,-2.901204769478749e-09,-6.260930923013275e-10,2.295388266272992,2.0187545468935246,1.8847821754771708,2.398788299317559,2.1058028239331437,1.7325559209319807,1054.628183400209,989.0381715155305,955.6566305943613,1078.1203790155753,1010.1366912249556,916.2519774237985,1054.2360764540076,986.3875843706203,959.3648753769302,1076.45632360213,1009.0865426097569,920.1526526440114,2.2936817494508164,2.007948665150996,1.8994376356997797,2.3913890586227384,2.101426670807862,1.7473390232109423,9.36737137329326e-07,0.00010040323099953244,2.0040532420245443,0.9999998877161155,0.00020372301411065346,0.00042118622524682736,7.527850669076081e-05,0.00014387086256588733,0.0077244281838371245,0.3117747405233893,0.03153233712514807,0.06478467084127888,0.011495167210524793
14,0.02800000000000001,0.016353304850955687,0.26496628466365546,10.186512081439679,0.01338737589706473,0.024999977734186482,0.007819200139619944,0.01635330757190903,0.26496628597375216,10.186512077426318,0.013387380199336468,0.024999974807383363,0.00781919951675547,0.006122204833697326,0.25722935571644245,10.190923898828435,0.01251283409918405,0.02496818475045029,0.008548497261343102,2.720953344581556e-09,1.3100966977930284e-09,-4.013360310750613e-09,4.302271738518271e-09,-2.926803119307486e-09,-6.228644735400968e-10,2.2955318136111367,2.020058994988808,1.8830711634763373,2.3995978375652367,2.106320543855295,1.7308547387369018,1054.6611596735247,989.3576607313151,955.2227578503603,1078.302284617479,1010.2608566367695,915.8020368646543,1054.2662230580727,986.591371123117,959.0797720694785,1076.58426221729,1009.1672818438324,919.8527545866326,2.293812930133674,2.0087784314895347,1.8983088566512305,2.391957533495619,2.101762963802448,1.7462002161190695,1.258870205781302e-06,0.00011644614041729157,2.0047007701446593,0.9999998489349304,0.00023649830533743204,0.0004884613068187432,8.720217697151522e-05,0.00017909391883511302,0.008318444961578563,0.33575324654786876,0.034020370741781596,0.0697653747897364,0.01235146707586793
15,0.030000000000000013,0.01752011266377039,0.265792583917533,10.185987350624595,0.013485399072418275,0.0249994740111552,0.007733771858954387,0.017520115378163587,0.26579258519922366,10.185987346602891,0.013485403380456645,0.024999471058857275,0.007733771239334386,0.006909538120927566,0.2578246010509715,10.190579513937651,0.012580011697063576,0.024970629931781146,0.008492518090968848,2.7143931963236057e-09,1.2816906425072716e-09,-4.021703858825276e-09,4.3080383704818814e-09,-2.952297923491942e-09,-6.196200011410191e-10,2.295665229714213,2.02136674057074,1.8813658846642067,2.400395308480155,2.106837861984196,1.729163488765027,1054.6918076342106,989.6778540477374,954.7901427400908,1078.4814486554883,1010.3849104451771,915.3545040151698,1054.296587217372,986.8040535006056,958.7832308282078,1076.716350010111,1009.2513598399446,919.541320717564,2.2939450612836403,2.009644601283762,1.897135148573152,2.392544515461284,2.1021131919217932,1.7450179968445214,1.656543161387155e-06,0.00013367684135796946,2.0053962544674038,0.9999998008714466,0.000271767789033985,0.0005607169223038483,9.997934408844713e-05,0.00021946277066546308,0.00891220769698964,0.3597309374656768,0.03652084369534913,0.07474571006251207,0.01320220289898261
16,0.032000000000000015,0.018686654600386297,0.2666096115211592,10.185459644558042,0.013583130715795463,0.024998306671354508,0.007648000525291331,0.018686657308182558,0.2666096127743941,10.185459640528014,0.013583135029443777,0.024998303693621382,0.007647999908899972,0.007726092299498305,0.2584376350746611,10.19022089758609,0.01264955474267418,0.024972849230492228,0.008434281020714862,2.707796261519624e-09,1.2532349047411628e-09,-4.030027866974706e-09,4.3136483135475245e-09,-2.9777331260472106e-09,-6.163913589610215e-10,2.2957885010848744,2.0226777643460667,1.8796663797230317,2.4011806742362216,2.107354786380199,1.7274821982415989,1054.7201243847915,989.9987460600825,954.3587973015804,1078.6578639996017,1010.5088546238123,914.909389618096,1054.3269731963512,987.0250017089858,958.4762277343939,1076.852057195392,1009.338511321485,919.2194230652954,2.294077291192617,2.010544632210975,1.8959204149512088,2.393147656563777,2.1024762534866888,1.7437964772337877,2.1403576954566603e-06,0.00015209475166619809,2.0061396933291764,0.9999997421463915,0.0003095441406421154,0.0006379526904663908,0.00011360431416095446,0.0002652865454092074,0.00950564134196739,0.38370778023814245,0.03903423224343714,0.07972564357684692,0.014047141626994645
17,0.034000000000000016,0.01985291295796429,0.267417338974137,10.184928967648284,0.013680568714400154,0.02499647574577171,0.007561889943257258,0.019852915659121978,0.2674173401988884,10.184928963609938,0.013680573033460125,0.024996472742666614,0.007561889330190696,0.008569596353179693,0.2590663749910873,10.189848936854716,0.012721258944646652,0.02497480910647537,0.008373932854417565,2.7011576864133247e-09,1.2247514113994384e-09,-4.038346546053617e-09,4.31905997078097e-09,-3.0031050944623328e-09,-6.130665619261122e-10,2.2959016146095634,2.0239920468398918,1.8779726891292745,2.401953897407159,2.107871325072846,1.7258108940568295,1054.7461071008154,990.320331324716,953.9287335373258,1078.8315235932964,1010.6326911379182,914.4667043292067,1054.3572000855468,987.2536339594776,958.1596647501715,1076.990894171559,1009.428491559013,918.8880520628201,2.294208832575617,2.011476176158214,1.894668262640268,2.393764786466942,2.102851132168332,1.7425394554208034,2.721528069881445e-06,0.00017169913335885427,2.0069310850023303,0.9999996712835364,0.0003498404892656349,0.000720168194044755,0.00012807116572928083,0.0003168687596338966,0.010098665180634138,0.40768374382767814,0.04156097024063559,0.08470513524806066,0.01488606549817639
18,0.03600000000000002,0.021018870037968703,0.26821573810048666,10.184395324328396,0.013777710961784317,0.024993981283009142,0.007475443932526939,0.021018872732465194,0.26821573929671116,10.184395320281752,0.013777715286100084,0.024993978254624738,0.007475443322761732,0.009437952496550245,0.2597088959412752,10.189464451298157,0.012794935573858995,0.024976478595675145,0.008311609397534447,2.6944964905128987e-09,1.1962245083374512e-09,-4.046643908850456e-09,4.324315766579545e-09,-3.028384404357709e-09,-6.097652070768955e-10,2.296004557557396,2.0253095683976188,1.8762848531519376,2.4027149409684125,2.1083874860589717,1.7241496027667156,1054.7697530305259,990.6426043596608,953.4999634136276,1079.0024204537165,1010.7564219439004,914.026458717019,1054.3871006673166,987.4894127748063,957.8343754143507,1077.1324084368514,1009.5210747898697,918.5481228143054,2.2943389576441993,2.012437064193586,1.893382024478139,2.3943938987881377,2.1032368904102117,1.7412504397187094,3.4118703237859694e-06,0.00019248908166210368,2.007770427698998,0.9999995867093989,0.0003926703768005532,0.0008073629730693367,0.00014337376424282058,0.00037450774167462156,0.010691193197104838,0.43165879902326226,0.04410145239416014,0.08968413852482207,0.01571877089498252
19,0.03800000000000002,0.022184508146435897,0.2690047810496288,10.183858719056234,0.013874555357893576,0.02499082334928289,0.007388666327654014,0.022184510834228927,0.26900478221727575,10.1838587150013,0.013874559687369004,0.024990820295709093,0.007388665721238141,0.010329222907923513,0.260363418914478,10.189068197800655,0.012870410264521098,0.02497782911297708,0.00824743630998187,2.687793029809704e-09,1.1676469235943898e-09,-4.054934166219937e-09,4.329475427472529e-09,-3.0535737965964316e-09,-6.064158723784185e-10,2.2960973175824675,2.0266303091834215,1.8746029118523833,2.403463768297689,2.1089032773027134,1.7224983505918061,1054.7910594953214,990.9655596443229,953.0724988603014,1079.1705476715547,1010.8800489893362,913.588663261975,1054.4165203687528,987.7318415794247,957.5011301002676,1077.2761817426183,1009.6160527592639,918.2004808799376,2.2944669935595967,2.013425292709139,1.8920647801963417,2.3950331384922046,2.1036326633583564,1.7399326707168843,4.223792292166807e-06,0.00021446351475579135,2.008657719574579,0.9999994867529453,0.00043804772019145167,0.0008995365186930134,0.00015950577544497527,0.0004384970214986714,0.011283134415435237,0.4556329182777658,0.04665603726866641,0.094662600883175,0.016545067286070563
